Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Chris Whitney,WAS,82,19.8,0.2,1.4,1.6,3.8,0.7,0.1,1.3,2,7.8,2000
Brad Miller,CHA,55,17.5,2.1,3.3,5.3,0.8,0.4,0.6,0.9,2,7.7,2000
Scott Williams,MIL,68,21.9,2.6,4,6.6,0.4,0.6,1,1,3.4,7.6,2000
Kevin Willis,TOR,79,21.3,2.5,3.6,6.1,0.6,0.5,0.6,1.2,3.2,7.6,2000
Aaron Williams,WAS,81,19.1,2,3.1,5,0.7,0.5,1.1,1,2.9,7.6,2000
Dell Curry,TOR,67,16.3,0.2,1.3,1.5,1.3,0.5,0.1,0.6,1,7.6,2000
Mario Elie,SAS,79,28.1,0.6,2.5,3.2,2.4,0.9,0.1,1.6,2,7.5,2000
Detlef Schrempf,POR,77,21.6,1,3.3,4.3,2.6,0.5,0.2,1.3,2.4,7.5,2000
Hubert Davis,DAL,79,23,0.2,1.5,1.7,1.8,0.3,0,0.9,1.4,7.4,2000
Danny Ferry,CLE,63,21,0.9,2.9,3.8,1.1,0.3,0.4,0.9,2.9,7.3,2000
Dan Majerle,MIA,69,33.4,0.4,4.4,4.8,3,1.3,0.2,0.9,2.3,7.3,2000
Charlie Ward,NYK,72,27.6,0.3,2.9,3.2,4.2,1.3,0.2,1.4,2.4,7.3,2000
Brian Grant,POR,63,21,1.9,3.5,5.5,1,0.5,0.4,1.3,2.6,7.3,2000
Clarence Weatherspoon,MIA,78,20.7,1.6,4.1,5.8,1.2,0.7,0.6,1.3,2.1,7.2,2000
Eric Williams,BOS,68,20.3,0.8,1.5,2.3,1.4,0.6,0.2,1,2.4,7.2,2000
Dana Barros,BOS,72,15.8,0.2,1.2,1.4,1.8,0.4,0.1,0.9,1.1,7.2,2000
Jahidi White,WAS,80,19.2,2.5,4.4,6.9,0.2,0.4,1,1.2,2.9,7.1,2000
Eddie Robinson,CHA,67,16.6,0.8,1.9,2.7,0.5,0.7,0.4,0.6,1,7,2000
Michael Doleac,ORL,81,16.5,1.1,3,4.1,0.8,0.4,0.4,0.8,2.8,7,2000
Ron Harper,LAL,80,25.5,1.2,3,4.2,3.4,1.1,0.5,1.6,2,7,2000
Charles Oakley,TOR,80,30.4,1.5,5.3,6.8,3.2,1.3,0.6,1.9,3.7,6.8,2000
Todd Day,PHX,58,16.2,0.5,1.7,2.2,1.1,0.8,0.4,0.9,2.2,6.8,2000
Adrian Griffin,BOS,72,26.8,1.8,3.4,5.2,2.5,1.6,0.2,1.3,3.1,6.7,2000
Ike Austin,WAS,59,19.9,1.1,3.7,4.8,1.3,0.3,0.6,1.8,2.2,6.7,2000
Malik Rose,SAS,74,18.1,1.8,2.7,4.5,0.6,0.5,0.7,1.3,3.1,6.7,2000
Terry Mills,DET,82,22.5,0.6,4.1,4.8,1,0.5,0.3,0.6,3,6.7,2000
Lucious Harris,NJN,77,19.6,0.7,1.7,2.4,1.3,0.8,0.1,0.5,1.3,6.7,2000
Armen Gilliam,UTA,50,15.6,1.4,2.7,4.2,0.8,0.2,0.3,1.1,1.7,6.7,2000
Andrew DeClercq,CLE,82,22.3,1.9,3.5,5.4,0.7,0.8,0.8,1.3,3.4,6.6,2000
Sam Perkins,IND,81,20,0.8,2.8,3.6,0.8,0.4,0.4,0.8,1.7,6.6,2000
Tony Battie,BOS,82,18.4,1.9,3.1,5,0.8,0.6,0.9,0.8,3,6.6,2000
John Wallace,NYK,60,13.3,0.7,1.6,2.2,0.4,0.2,0.2,1.1,1.7,6.5,2000
Rick Fox,LAL,82,18,0.8,1.6,2.4,1.7,0.6,0.3,1.1,2.5,6.5,2000
Sam Mitchell,MIN,66,18.6,0.4,1.7,2.1,1.7,0.4,0.2,0.7,1.8,6.5,2000
Lawrence Funderburke,SAC,75,13.7,1.3,1.8,3.1,0.4,0.4,0.3,0.5,1.2,6.4,2000
Randy Brown,CHI,59,27.5,0.4,2.1,2.4,3.4,1,0.3,1.8,2,6.4,2000
Oliver Miller,PHX,51,21.3,1.7,3.4,5.1,1.3,0.8,1.6,1.5,2.6,6.3,2000
Jaren Jackson,SAS,81,20.9,0.4,1.8,2.2,1.5,0.7,0.1,0.8,1.9,6.3,2000
Anthony Carter,MIA,79,23.5,0.6,1.9,2.5,4.8,1.2,0.1,2.2,2.1,6.3,2000
Derek Fisher,LAL,78,23.1,0.3,1.6,1.8,2.8,1,0,1,1.9,6.3,2000
Tony Farmer,GSW,74,16.3,1.6,2.4,4,1,0.9,0.2,1.1,2.3,6.3,2000
Luc Longley,PHX,72,19.7,1.4,3.1,4.5,1.1,0.3,0.6,1.9,3.1,6.3,2000
Greg Anthony,POR,82,18.9,0.2,1.4,1.6,2.5,0.7,0.1,1,1.7,6.3,2000
Antonio Daniels,SAS,68,17.6,0.2,1,1.3,2.6,0.8,0.1,0.9,1.1,6.2,2000
Michael Curry,DET,82,19.6,0.3,1,1.3,1.1,0.4,0.1,0.9,2.5,6.2,2000
Scott Burrell,NJN,74,18.1,0.9,2.6,3.5,1,0.9,0.6,0.5,2.3,6.1,2000
Billy Owens,GSW,62,21,1.6,3.3,4.9,1.6,0.5,0.3,1.4,2.7,6,2000
Chris Anstey,CHI,73,13.8,1.2,2.6,3.8,0.9,0.4,0.3,1.1,2.5,6,2000
Bo Outlaw,ORL,82,28.4,2.5,3.9,6.4,3,1.4,1.8,1.6,2.5,6,2000
Lorenzen Wright,ATL,75,16.1,1.6,2.5,4.1,0.3,0.4,0.5,0.9,2.7,6,2000
Baron Davis,CHA,82,18.6,0.6,1.4,2,3.8,1.2,0.2,1.7,2.5,5.9,2000
Bryce Drew,HOU,72,18,0.3,1.1,1.4,2.2,0.6,0,0.9,1.1,5.8,2000
Rasho Nesterovic,MIN,82,21,1.6,3,4.6,1.1,0.3,1,0.9,3.2,5.7,2000
Robert Horry,LAL,76,22.2,1.8,3,4.8,1.6,1.1,1.1,1,2.5,5.7,2000
Jamie Feick,NJN,81,27.7,3.3,6.1,9.3,0.8,0.5,0.5,0.7,2.5,5.7,2000
Darrick Martin,SAC,71,12.6,0.1,0.5,0.6,1.7,0.4,0,0.9,1.3,5.7,2000
Mark Bryant,CLE,75,22.9,1.7,3,4.7,0.8,0.4,0.4,1.2,3.3,5.7,2000
Dennis Scott,VAN,66,19.1,0.2,1.4,1.6,1,0.4,0.1,0.5,1.6,5.6,2000
Adonal Foyle,GSW,76,21.7,2.3,3.3,5.6,0.6,0.3,1.8,0.9,2.9,5.5,2000
Otis Thorpe,MIA,51,15.2,1.1,2.2,3.3,0.6,0.5,0.2,1.2,2.7,5.5,2000
Scot Pollard,SAC,76,17.6,2.2,3.1,5.3,0.6,0.7,0.8,0.7,2.8,5.4,2000
Cedric Henderson,CLE,61,18.1,0.6,1.7,2.3,0.9,0.6,0.3,1.1,1.6,5.4,2000
Olden Polynice,UTA,82,22.2,2,3.5,5.5,0.5,0.4,1,0.9,3.2,5.3,2000
Chucky Brown,CHA,63,17.4,0.6,2.1,2.7,1,0.3,0.3,0.7,1.8,5.3,2000
Chris Childs,NYK,71,23.6,0.2,1.8,2.1,4,0.5,0.1,1.5,3.4,5.3,2000
Elliot Perry,NJN,60,13.4,0.2,0.8,1,2.3,0.7,0,1,0.8,5.3,2000
Gerard King,WAS,62,17.1,1.4,2.7,4,0.8,0.5,0.2,0.7,2.1,5.3,2000
Vinny Del Negro,MIL,67,18.1,0.1,1.5,1.6,2.4,0.5,0,0.7,1.2,5.2,2000
Muggsy Bogues,TOR,80,21.6,0.3,1.4,1.7,3.7,0.8,0.1,0.7,1.5,5.1,2000
Samaki Walker,SAS,71,13.8,1.1,2.7,3.8,0.5,0.1,0.5,0.9,1.5,5.1,2000
Bobby Jackson,MIN,73,14.2,0.7,1.4,2.1,2.4,0.7,0.1,0.8,1.6,5.1,2000
A.C. Green,LAL,82,23.5,2,4,5.9,1,0.6,0.2,0.6,1.5,5,2000
Mark Strickland,MIA,58,11.4,0.8,1.7,2.4,0.4,0.3,0.3,0.4,1.2,4.9,2000
Randy Livingston,PHX,79,13.7,0.3,1.3,1.6,2.2,0.6,0.2,1.2,1.6,4.8,2000
Ben Wallace,ORL,81,24.2,2.6,5.6,8.2,0.8,0.9,1.6,0.8,2,4.8,2000
Ervin Johnson,MIL,80,26.6,2.9,5.2,8.1,0.6,1,1.6,1,3.7,4.8,2000
John Crotty,DET,69,13.6,0.2,0.8,1.1,1.9,0.4,0.1,0.8,1.5,4.7,2000
Danny Manning,MIL,72,16.9,0.7,2.2,2.9,1,0.9,0.4,0.8,2.5,4.6,2000
Greg Ostertag,UTA,81,19.8,2.1,3.8,6,0.2,0.2,2.1,1,2.4,4.5,2000
Felipe Lopez,VAN,65,12,0.9,1,1.9,0.7,0.5,0.3,0.8,1.4,4.5,2000
Jerome Kersey,SAS,72,18.2,0.8,2.3,3.1,1,0.9,0.7,0.7,2.2,4.5,2000
Sean Rooks,DAL,71,14.1,1.2,2.3,3.5,1,0.4,0.7,1,2.4,4.4,2000
Jelani McCoy,SEA,58,12.9,0.9,2.2,3.1,0.4,0.3,0.8,0.8,2.2,4.3,2000
Dickey Simpkins,CHI,69,23.9,1.8,3.6,5.4,1.4,0.3,0.3,1.9,3.1,4.2,2000
Brian Shaw,LAL,74,16.9,0.6,2.3,2.9,2.7,0.5,0.2,1,1.4,4.1,2000
Calbert Cheaney,BOS,67,19.5,0.3,1.7,2.1,1.2,0.7,0.2,0.7,2.4,4,2000
Jermaine O'Neal,POR,70,12.4,1.4,1.9,3.3,0.3,0.2,0.8,0.7,1.8,3.9,2000
Quincy Lewis,UTA,74,12.1,0.6,0.9,1.5,0.5,0.3,0.2,0.6,2.1,3.8,2000
Walter McCarty,BOS,61,14.4,0.5,1.3,1.8,1.1,0.4,0.4,1.1,1.4,3.8,2000
Jacque Vaughn,UTA,78,11.3,0.1,0.7,0.8,1.6,0.4,0,1,1.2,3.7,2000
Todd MacCulloch,PHI,56,9.4,0.9,1.8,2.6,0.2,0.2,0.7,0.5,1.7,3.7,2000
Stacey Augmon,POR,59,11.7,0.7,1.3,2,0.9,0.5,0.2,0.6,1.2,3.4,2000
Greg Foster,SEA,60,12,0.3,1.5,1.8,0.7,0.2,0.3,0.5,1.8,3.4,2000
Devean George,LAL,49,7,0.6,0.9,1.5,0.2,0.2,0.1,0.4,1.1,3.2,2000
Bruce Bowen,MIA,69,12.7,0.4,1,1.4,0.5,0.3,0.2,0.3,1.7,2.8,2000
William Avery,MIN,59,8.2,0.1,0.5,0.7,1.5,0.2,0,0.7,1,2.6,2000
Will Perdue,CHI,67,15.1,1.3,2.6,3.9,1,0.2,0.6,1.2,1.9,2.5,2000
Jim McIlvaine,NJN,66,15.9,1.6,1.9,3.5,0.5,0.4,1.8,0.6,3.1,2.4,2000
Jud Buechler,DET,58,11.3,0.5,1.1,1.6,0.6,0.4,0.3,0.2,0.9,2.2,2000
Michael Ruffin,CHI,71,13.7,1.6,1.9,3.5,0.6,0.4,0.4,0.8,2.4,2.2,2000
Adam Keefe,UTA,62,9.7,0.7,1.5,2.2,0.5,0.3,0.2,0.7,1.5,2.2,2000
Dean Garrett,MIN,56,10.8,0.7,1.8,2.5,0.3,0.1,0.7,0.4,1.7,2,2000
Travis Knight,LAL,63,6.5,0.7,1.3,2,0.4,0.1,0.4,0.4,1.4,1.7,2000
John Salley,LAL,45,6.7,0.4,1,1.4,0.6,0.2,0.3,0.4,1.5,1.6,2000
Allen Iverson,PHI,71,42,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,2001
Jerry Stackhouse,DET,80,40.2,1.2,2.7,3.9,5.1,1.2,0.7,4.1,2,29.8,2001
Shaquille O'Neal,LAL,74,39.5,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,2001
Kobe Bryant,LAL,68,40.9,1.5,4.3,5.9,5,1.7,0.6,3.2,3.3,28.5,2001
Vince Carter,TOR,75,39.7,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,2001
Chris Webber,SAC,70,40.5,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1,2001
Tracy McGrady,ORL,77,40.1,2.5,5,7.5,4.6,1.5,1.5,2.6,2.1,26.8,2001
Paul Pierce,BOS,82,38,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,2001
Antawn Jamison,GSW,82,41.4,3.4,5.3,8.7,2,1.4,0.3,2.4,2.7,24.9,2001
Stephon Marbury,NJN,67,38.2,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9,2001
Antoine Walker,BOS,81,41.9,1.9,7,8.9,5.5,1.7,0.6,3.7,3.1,23.4,2001
Karl Malone,UTA,81,35.7,1.4,6.9,8.3,4.5,1.1,0.8,3,2.7,23.2,2001
Gary Payton,SEA,79,41.1,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1,2001
Tim Duncan,SAS,82,38.7,3.2,9,12.2,3,0.9,2.3,3,3,22.2,2001
Glenn Robinson,MIL,76,37,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22,2001
Kevin Garnett,MIN,81,39.5,2.7,8.7,11.4,5,1.4,1.8,2.8,2.5,22,2001
Ray Allen,MIL,82,38.2,1.2,4,5.2,4.6,1.5,0.2,2.5,2.3,22,2001
Dirk Nowitzki,DAL,82,38.1,1.5,7.7,9.2,2.1,1,1.2,1.9,3,21.8,2001
Michael Finley,DAL,82,42,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5,2001
Antonio McDyess,DEN,70,36.5,3.4,8.6,12.1,2.1,0.6,1.5,2.3,3.1,20.8,2001
Shareef Abdur-Rahim,VAN,81,40,2.2,6.9,9.1,3.1,1.1,1,2.9,2.9,20.5,2001
Jalen Rose,IND,72,40.9,0.5,4.5,5,6,0.9,0.6,2.9,3.2,20.5,2001
Peja Stojakovic,SAC,75,38.7,1.2,4.5,5.8,2.2,1.2,0.2,1.9,1.9,20.4,2001
Elton Brand,CHI,74,39.3,3.9,6.2,10.1,3.2,1,1.6,3,3.3,20.1,2001
Jamal Mashburn,CHA,76,39.3,1.2,6.4,7.6,5.4,1.1,0.2,2.8,2.4,20.1,2001
Steve Francis,HOU,80,39.9,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9,2001
Jason Terry,ATL,82,37.7,0.5,2.8,3.3,4.9,1.3,0.1,2.9,2.5,19.7,2001
Ron Mercer,CHI,61,41.6,1.2,2.7,3.9,3.3,1.3,0.4,2.1,2.4,19.7,2001
Cuttino Mobley,HOU,79,38,1.1,4,5,2.5,1.1,0.3,2.1,2.1,19.5,2001
Rasheed Wallace,POR,77,38.2,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2,2001
Reggie Miller,IND,81,39.3,0.5,3,3.5,3.2,1,0.2,1.6,2,18.9,2001
Allan Houston,NYK,78,36.6,0.3,3.4,3.6,2.2,0.7,0.1,2.1,2.4,18.7,2001
Sam Cassell,MIL,76,35.6,0.6,3.2,3.8,7.6,1.2,0.1,2.9,2.8,18.2,2001
Richard Hamilton,WAS,78,32.3,1,2.1,3.1,2.9,1,0.1,2.6,2.6,18.1,2001
Juwan Howard,DAL,81,36.7,2.1,5,7.1,2.8,0.9,0.5,3,3.6,18,2001
Nick Van Exel,DEN,71,37.9,0.6,2.8,3.4,8.5,0.9,0.3,2.3,1.5,17.7,2001
Latrell Sprewell,NYK,77,39.2,0.6,3.9,4.5,3.5,1.4,0.4,2.8,2.1,17.7,2001
Eddie Jones,MIA,63,36.2,1.2,3.4,4.6,2.7,1.7,0.9,2.1,2.9,17.4,2001
Shawn Marion,PHX,79,36.2,2.8,7.9,10.7,2,1.7,1.4,1.6,2.7,17.3,2001
David Wesley,CHA,82,37.9,0.8,2,2.7,4.4,1.6,0.2,2.1,2.7,17.2,2001
Lamar Odom,LAC,76,37.3,1.4,6.3,7.8,5.2,1,1.6,3.5,3.1,17.2,2001
Jason Kidd,PHX,77,39.8,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,2001
Cliff Robinson,PHX,82,33.5,1.3,2.8,4.1,2.9,1.1,1,2.3,3.1,16.4,2001
Michael Dickerson,VAN,70,37.4,1,2.3,3.3,3.3,0.9,0.4,2.3,3,16.3,2001
Anthony Mason,MIA,80,40.7,2.1,7.5,9.6,3.1,1,0.3,2.2,2.9,16.1,2001
Terrell Brandon,MIN,78,36.2,0.8,3.1,3.8,7.5,2.1,0.3,2,1.8,16,2001
Mike Bibby,VAN,82,38.9,0.6,3.1,3.7,8.4,1.3,0.1,3,1.8,15.9,2001
Darrell Armstrong,ORL,75,36.9,1.3,3.3,4.6,7,1.8,0.2,2.7,2.1,15.9,2001
Andre Miller,CLE,82,34.7,1.1,3.2,4.4,8,1.5,0.3,3.2,2.8,15.8,2001
Steve Nash,DAL,70,34.1,0.7,2.5,3.2,7.3,1,0.1,2.9,2.3,15.6,2001
Derek Anderson,SAS,82,34.9,0.9,3.5,4.4,3.7,1.5,0.2,2,2.3,15.5,2001
Brian Grant,MIA,82,33.8,2.6,6.1,8.8,1.2,0.7,0.9,2.1,3.6,15.2,2001
Tim Hardaway,MIA,77,33.9,0.3,2.3,2.6,6.3,1.2,0.1,2.5,2,14.9,2001
Rashard Lewis,SEA,78,34.9,1.8,5.1,6.9,1.6,1.2,0.6,1.7,2.4,14.8,2001
David Robinson,SAS,80,29.6,2.6,6,8.6,1.4,1,2.5,1.5,2.6,14.4,2001
Wally Szczerbiak,MIN,82,34.8,1.6,3.8,5.5,3.2,0.7,0.4,1.7,2.8,14,2001
Baron Davis,CHA,82,38.9,1.6,3.4,5,7.3,2.1,0.4,2.8,3.3,13.8,2001
Antonio Davis,TOR,78,35,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,2001
Steve Smith,POR,81,31.4,1.1,2.3,3.4,2.6,0.6,0.3,1.7,2.5,13.6,2001
Donyell Marshall,UTA,81,28.7,2.1,4.9,7,1.6,1,1,1.6,2.4,13.6,2001
Elden Campbell,CHA,78,30,2,5.8,7.8,1.3,0.8,1.8,1.8,3.6,13.1,2001
Mo Taylor,HOU,69,28.6,1.6,3.9,5.5,1.5,0.4,0.6,1.8,3,13,2001
Damon Stoudamire,POR,82,32.4,0.8,2.9,3.7,5.7,1.3,0.1,2.3,2.5,13,2001
Ruben Patterson,SEA,76,27.1,2.4,2.6,5,2.1,1.4,0.6,2,2.3,13,2001
Raef LaFrentz,DEN,78,31.5,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9,2001
Jeff McInnis,LAC,81,34.9,0.5,2.2,2.7,5.5,0.9,0.1,1.4,2.5,12.9,2001
Jermaine O'Neal,IND,81,32.6,3.1,6.7,9.8,1.2,0.6,2.8,2,3.5,12.9,2001
Lamond Murray,CLE,78,28.5,1.3,3,4.4,1.6,1.1,0.3,1.8,2.2,12.8,2001
Bonzi Wells,POR,75,26.6,1.6,3.3,4.9,2.8,1.3,0.3,2.3,2.7,12.7,2001
Tim Thomas,MIL,76,27.4,1,3.1,4.1,1.8,1,0.6,1.5,2.6,12.6,2001
Lorenzen Wright,ATL,71,28,2.5,5,7.5,1.2,0.6,0.9,1.8,3.3,12.4,2001
Doug Christie,SAC,81,36.3,1.2,3.2,4.4,3.6,2.3,0.6,1.9,2.8,12.3,2001
Joe Smith,DET,69,28.1,2.3,4.8,7.1,1.1,0.7,0.7,1.3,3.7,12.3,2001
Tony Delk,PHX,82,27.9,0.9,2.3,3.2,2,0.9,0.2,1.2,2.1,12.3,2001
Vin Baker,SEA,76,28,2.4,3.3,5.7,1.2,0.5,1,2.1,3.5,12.2,2001
Rodney Rogers,PHX,82,26.6,1.1,3.2,4.4,2.2,1.2,0.6,1.9,3.3,12.2,2001
Voshon Lenard,DEN,80,29.1,0.6,2.3,2.9,2.4,0.8,0.2,1.3,2.1,12.2,2001
Marcus Camby,NYK,63,33.8,3.1,8.4,11.5,0.8,1,2.2,1,3.3,12,2001
Vlade Divac,SAC,81,29.9,2.6,5.8,8.3,2.9,1.1,1.1,2.4,3,12,2001
Chucky Atkins,DET,81,29.2,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12,2001
Glen Rice,NYK,75,29.5,0.8,3.3,4.1,1.2,0.5,0.2,1.3,2.4,12,2001
Kenyon Martin,NJN,68,33.4,2,5.4,7.4,1.9,1.1,1.7,2,4.1,12,2001
Bryon Russell,UTA,78,31.7,1.2,3,4.2,2.1,1.2,0.3,1.4,2.9,12,2001
Metta World Peace,CHI,76,31.1,0.8,3.1,3.9,3,2,0.6,2.1,3.3,11.9,2001
Travis Best,IND,77,31.9,0.5,2.4,2.9,6.1,1.4,0.1,1.6,3.2,11.9,2001
Mike Miller,ORL,82,29.1,0.8,3.2,4,1.7,0.6,0.2,1.2,2.4,11.9,2001
Hakeem Olajuwon,HOU,58,26.6,2.1,5.3,7.4,1.2,1.2,1.5,1.4,2.4,11.9,2001
Corliss Williamson,DET,69,24.4,1.6,3.1,4.7,0.9,0.7,0.3,1.6,2.7,11.6,2001
Aaron McKie,PHI,76,31.5,0.4,3.7,4.1,5,1.4,0.1,2.7,2.3,11.6,2001
John Stockton,UTA,82,29.2,0.7,2.1,2.8,8.7,1.6,0.3,2.5,2.4,11.5,2001
Chris Gatling,CLE,74,22.6,1.3,3.9,5.3,0.8,0.7,0.4,1.6,2.5,11.4,2001
Clarence Weatherspoon,CLE,82,33.8,2.7,7,9.7,1.3,1,1.3,1.4,2.1,11.3,2001
Scottie Pippen,POR,64,33.3,1.1,4.1,5.2,4.6,1.5,0.5,2.4,2.5,11.3,2001
Toni Kukoc,ATL,65,24.6,1,3,4,3.1,0.7,0.2,1.7,1.5,11.1,2001
Mookie Blaylock,GSW,69,34.1,1,2.9,3.9,6.7,2.4,0.3,1.9,1.9,11,2001
Johnny Newman,NJN,82,25,0.4,1.7,2.1,1.4,0.8,0.1,1.3,2.8,10.9,2001
Eric Piatkowski,LAC,81,26.5,0.7,2.3,3,1.2,0.6,0.2,0.9,1.5,10.6,2001
Anthony Peeler,MIN,75,28.3,0.6,2,2.6,2.6,1.2,0.2,1.4,2.2,10.5,2001
Alan Henderson,ATL,73,24.8,2.5,3.1,5.6,0.7,0.7,0.4,1.7,2.2,10.5,2001
Kurt Thomas,NYK,77,27.6,2.2,4.5,6.7,0.8,0.8,0.9,1.3,3.7,10.4,2001
Aaron Williams,NJN,82,28.5,2.6,4.6,7.2,1.1,0.7,1.4,1.6,3.9,10.2,2001
Austin Croshere,IND,81,23.1,1.5,3.3,4.8,1.1,0.4,0.6,1.7,2.2,10.1,2001
Arvydas Sabonis,POR,61,21.3,0.8,4.6,5.4,1.5,0.7,1,1.4,2.2,10.1,2001
Lindsey Hunter,MIL,82,24.4,0.4,1.7,2.1,2.7,1.2,0.1,0.8,2.1,10.1,2001
Corey Maggette,LAC,69,19.7,1.3,2.9,4.2,1.2,0.5,0.1,1.5,2,10,2001
Dikembe Mutombo,PHI,75,34.5,4.1,9.4,13.5,1,0.4,2.7,1.9,2.7,10,2001
Larry Johnson,NYK,65,32.4,1.4,4.2,5.6,2,0.6,0.4,1.5,3.2,9.9,2001
Eric Snow,PHI,50,34.8,0.5,2.8,3.3,7.4,1.5,0.1,2.5,2.5,9.8,2001
Alvin Williams,TOR,82,29.2,0.6,2,2.6,5,1.5,0.3,1.3,2.1,9.8,2001
Bryant Stith,BOS,78,32.1,0.8,2.8,3.6,2.2,1.2,0.2,1.2,2.3,9.7,2001
Patrick Ewing,SEA,79,26.7,1.6,5.8,7.4,1.2,0.7,1.2,1.9,2.9,9.6,2001
Rick Fox,LAL,82,27.9,1,3,4,3.2,0.9,0.4,1.7,2.7,9.6,2001
George McCloud,DEN,76,26.4,0.7,2.2,2.9,3.7,0.7,0.4,1.5,2.2,9.6,2001
Charles Oakley,TOR,78,35.5,1.8,7.7,9.5,3.4,1,0.6,1.8,3.3,9.6,2001
Tyrone Hill,PHI,76,31.1,3.1,5.9,9,0.6,0.5,0.4,1.7,3.2,9.6,2001
Courtney Alexander,WAS,65,21.3,0.6,1.6,2.2,1,0.7,0.1,1.2,2.1,9.5,2001
Marcus Fizer,CHI,72,21.9,1.1,3.3,4.3,1.1,0.4,0.3,1.7,2.4,9.5,2001
Chris Whitney,WAS,59,26,0.2,1.6,1.8,4.2,0.9,0.1,1.7,2.5,9.5,2001
Antonio Daniels,SAS,79,26.1,0.3,1.7,2.1,3.8,0.8,0.2,1.4,1.5,9.4,2001
LaPhonso Ellis,MIN,82,23.8,2.4,3.6,6,1.1,0.8,0.9,1.3,3.5,9.4,2001
Darius Miles,LAC,81,26.3,1.6,4.3,5.9,1.2,0.6,1.5,1.8,2.4,9.4,2001
Lucious Harris,NJN,73,28.4,1,3,3.9,1.8,1,0.2,0.9,1.7,9.4,2001
Jason Williams,SAC,77,29.7,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4,2001
Morris Peterson,TOR,80,22.6,1.4,1.8,3.2,1.3,0.8,0.2,1,2,9.3,2001
Christian Laettner,WAS,78,21.3,1.5,3.2,4.7,1.6,0.9,0.6,1.8,3.1,9.3,2001
John Starks,UTA,75,28.3,0.4,1.7,2.1,2.4,1,0.1,1.3,2.9,9.3,2001
Chauncey Billups,MIN,77,23.2,0.4,1.6,2.1,3.4,0.7,0.1,1.4,2.3,9.3,2001
Kevin Willis,DEN,78,23.5,2.3,4.6,6.8,0.6,0.7,0.7,1.1,2.8,9.3,2001
Fred Hoiberg,CHI,74,30.4,0.3,3.9,4.2,3.6,1.3,0.2,1,2.1,9.1,2001
Howard Eisley,DAL,82,29.6,0.3,2.1,2.4,3.6,1.2,0.1,1.2,2.7,9,2001
Othella Harrington,NYK,74,24.5,1.9,3.4,5.2,0.8,0.5,0.6,2,3.2,9,2001
Brent Barry,SEA,67,26.5,0.5,2.7,3.1,3.4,1.2,0.2,1.3,1.9,8.8,2001
Shandon Anderson,HOU,82,29.2,0.9,3.2,4.1,2.3,1,0.5,1.6,2.5,8.7,2001
Jahidi White,WAS,68,23.7,2.6,5,7.7,0.3,0.5,1.6,2,3.1,8.6,2001
Michael Olowokandi,LAC,82,25.9,2,4.4,6.4,0.6,0.4,1.3,2.1,3,8.5,2001
Horace Grant,LAL,77,31,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5,2001
P.J. Brown,CHA,80,35.1,3.2,6.1,9.3,1.6,1,1.1,1.4,3.2,8.4,2001
George Lynch,PHI,82,32.3,2.4,4.8,7.2,1.7,1.2,0.4,1.3,2.7,8.4,2001
Walt Williams,HOU,72,22,0.4,3,3.4,1.3,0.4,0.4,1,2.1,8.3,2001
Bryant Reeves,VAN,75,24.4,1.8,4.3,6,1.1,0.6,0.7,1.2,3.2,8.3,2001
Pat Garrity,ORL,76,20.8,0.7,2.1,2.8,0.7,0.5,0.2,0.9,3.2,8.3,2001
Tyrone Nesby,WAS,62,25.1,0.8,2,2.8,1.2,0.8,0.3,1,2.5,8.3,2001
Stephen Jackson,NJN,77,21.5,0.5,2.2,2.7,1.8,1.1,0.2,1.7,2.2,8.2,2001
James Posey,DEN,82,27.5,1.5,3.7,5.3,2,1.1,0.5,1.2,2.8,8.1,2001
Quentin Richardson,LAC,76,17.9,1.4,2,3.4,0.8,0.6,0.1,0.8,1.3,8.1,2001
Dana Barros,DET,60,18,0.1,1.5,1.6,1.8,0.5,0,1,1.1,8,2001
Hubert Davis,WAS,66,25.6,0.4,1.7,2.1,1.7,0.5,0,1.2,1.8,7.9,2001
John Amaechi,ORL,82,20.9,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9,2001
